description.year_built,description.sold_price,description.baths,description.garage,description.stories,description.beds,num_days,central_air,dishwasher,fireplace,basement,price_per_sqft,median_value_per_sqft,description.type_encoded,city_encoded
1952,214000,2,2,1,3,55,1,1,0,1,175,0,1,17
1959,371500,2,1,1,3,29,1,0,1,0,251,1,1,54
1978,421480,3,2,1,3,49,1,0,1,0,182,1,2,53
1957,300000,2,2,1,3,21,1,0,0,1,209,2,1,39
1856,240000,2,1,1,1,31,0,0,0,1,330,0,0,52
1966,68750,2,1,1,3,93,0,0,0,1,44,0,1,10
1962,415000,3,2,3,5,28,0,1,1,1,158,0,1,49
1951,765000,3,2,1,4,161,1,1,1,1,379,4,1,16
1924,79900,1,1,1,1,63,0,0,0,0,121,0,1,32
1987,385000,4,2,2,4,167,1,1,1,0,117,3,1,43
1985,550000,3,2,2,4,38,1,1,1,1,214,1,1,13
1984,163000,2,1,1,4,45,1,0,0,1,90,0,1,32
1997,820000,3,3,2,5,51,0,0,1,0,289,1,1,9
2005,690000,4,3,2,4,46,0,0,1,0,220,1,1,50
1955,522500,2,2,1,3,70,1,1,0,1,315,3,1,16
2003,240000,3,1,2,3,21,0,1,1,0,175,0,2,7
1984,162000,2,1,1,3,57,1,1,1,0,105,0,1,43
1978,374000,3,1,2,4,105,1,1,0,1,214,0,1,18
2023,434500,3,3,1,3,196,1,1,1,0,202,2,1,47
1971,95900,2,1,1,3,32,1,0,0,0,79,0,1,43
1983,555000,2,1,3,3,39,1,0,1,1,436,3,1,3
2017,460000,3,1,2,2,47,1,1,0,0,412,1,0,56
1966,253000,2,1,2,3,38,0,1,1,1,171,1,1,22
1984,217000,3,1,2,2,70,1,0,0,1,159,0,2,18
2021,430000,3,2,2,3,76,1,0,0,0,286,3,0,56
2005,165000,2,1,1,2,85,1,0,0,0,173,1,1,47
1961,305000,1,1,1,2,32,1,1,0,0,363,1,0,7
1989,675000,2,1,1,2,139,1,1,0,1,562,3,0,8
1970,155000,2,1,1,2,116,1,1,1,1,149,0,0,17
1996,355000,2,2,1,3,81,1,0,0,0,226,0,1,18
2008,332500,3,2,2,3,66,1,1,1,1,188,0,1,17
1965,440000,3,2,1,4,84,0,0,1,0,263,0,1,9
1978,925000,3,5,1,3,81,0,0,1,0,310,2,1,9
1958,375000,2,2,1,3,26,0,0,1,0,256,2,1,58
2001,345000,2,2,1,3,50,1,1,1,1,224,1,1,28
1980,199900,2,1,1,2,74,1,1,0,0,162,3,0,39
1979,675000,4,2,2,5,128,1,1,1,1,204,1,1,6
1926,325000,2,2,1,4,104,0,1,0,1,223,1,1,57
1973,140000,2,2,2,3,105,1,0,0,0,107,0,0,31
2021,429000,3,1,2,3,29,0,0,0,0,293,0,2,9
2002,270000,3,2,1,4,27,1,0,0,1,126,0,1,34
1966,61050,1,1,1,3,108,0,0,0,0,55,0,1,10
2005,350000,3,1,1,3,40,1,1,0,0,203,0,1,53
1971,375000,2,2,1,3,36,0,0,1,0,355,0,1,9
1974,117000,1,1,1,3,123,0,0,0,1,112,0,1,32
1967,200000,2,1,2,2,42,1,0,0,0,195,1,0,62
1955,134000,1,1,1,2,11,0,0,0,1,170,0,1,34
1973,205500,2,1,1,4,31,0,1,0,0,136,0,1,22
1989,412000,2,2,1,3,77,1,1,1,0,333,0,1,4
1943,827522,2,2,1,3,35,0,0,1,0,461,8,1,50
1986,263000,2,1,2,4,35,0,1,0,1,124,0,1,22
2001,297000,2,2,1,3,190,1,1,0,0,210,1,1,62
2017,320000,2,3,1,3,38,1,1,1,0,159,1,1,44
1954,380000,3,2,2,4,-3,1,1,0,0,176,0,1,12
1979,225000,3,2,2,3,59,0,0,1,0,137,1,1,36
1987,343000,2,1,1,2,56,1,0,0,0,310,3,0,3
2004,430000,4,1,2,3,43,0,0,1,1,125,3,1,22
1963,210000,2,1,3,2,20,1,0,0,0,167,0,0,7
1952,69500,1,1,1,2,43,1,0,0,1,96,0,1,17
2003,325000,3,2,2,3,29,1,0,0,0,125,1,1,31
1966,128700,2,2,1,3,92,0,0,0,1,95,0,1,15
1968,195000,2,2,1,5,169,1,1,0,0,86,0,1,43
1948,185000,2,1,1,2,43,1,1,0,1,214,0,1,17
1966,155000,2,1,1,3,37,1,0,0,1,121,0,1,61
1969,140000,2,1,1,3,35,1,0,0,0,88,0,1,43
1959,218829,2,2,1,3,15,1,0,0,0,156,1,1,31
1984,264900,4,1,1,2,42,1,1,1,1,167,1,0,13
1908,718750,3,1,2,4,51,1,1,1,1,360,4,1,16
1989,703125,4,2,4,4,76,1,0,1,1,148,1,1,28
1971,120000,2,1,1,3,91,1,0,0,0,68,0,1,43
2004,151000,3,1,2,3,65,1,1,0,0,124,0,0,62
1987,335000,2,1,1,3,38,1,1,0,0,217,0,1,53
1960,750000,3,2,1,3,37,1,0,1,1,291,4,1,16
