description.year_built,description.sold_price,description.baths,description.garage,description.stories,description.beds,num_days,central_air,dishwasher,fireplace,basement,price_per_sqft,median_value_per_sqft,description.type_encoded,city_encoded
1982,284900,3,1,2,3,34,1,1,1,0,158,1,2,58
1928,165000,1,1,1,1,132,1,1,0,1,181,0,1,15
1968,136000,2,2,1,3,61,1,0,0,0,77,0,1,40
1939,255000,2,1,1,3,58,0,1,1,1,182,0,1,0
2016,340000,3,1,2,3,33,0,1,1,0,200,1,1,5
1839,305000,1,1,2,4,113,0,0,0,1,272,0,1,48
2001,324000,2,1,2,3,70,0,0,0,1,262,1,1,48
1974,265000,1,1,1,3,44,1,0,0,1,242,0,1,16
1973,174632,1,1,2,2,36,1,1,0,0,202,1,0,14
2011,448000,2,3,1,4,49,0,0,0,0,205,1,1,47
1965,430000,1,1,2,2,63,1,1,1,1,166,3,1,2
1950,111200,2,1,1,3,57,1,1,0,0,94,0,1,40
1970,155000,2,1,1,2,116,1,1,1,1,149,0,0,15
1992,510000,4,2,1,4,30,1,1,1,0,170,1,1,17
1940,600000,1,1,1,1,62,0,1,0,0,833,1,1,46
1986,272500,3,1,2,3,13,1,0,1,0,160,0,1,49
2002,449000,3,2,2,4,87,1,0,1,0,225,1,1,54
1917,153000,1,2,1,2,57,1,0,0,1,190,0,1,15
1994,325000,3,2,2,4,28,0,1,1,1,112,0,1,19
